"GitHub.Repo","Engineered.ML.Project","Python_Percentage","Assign.Multi.Targets","Call.Star","List.Comprehension","Dict.Comprehension","Set.Comprehension","Truth.Value.Test","Chain.Compare","For.Multi.Targets","For.Else","PY_Assign.Multi.Targets","PY_Call.Star","PY_List.Comprehension","PY_Dict.Comprehension","PY_Set.Comprehension","PY_Truth.Value.Test","PY_Chain.Compare","PY_For.Multi.Targets","PY_For.Else","duplicated_lines_density","security_remediation_effort","duplicated_files","violations","critical_violations","info_violations","uncovered_lines","complexity","minor_violations","duplicated_lines","sqale_index","bugs","ncloc","reliability_remediation_effort","reliability_rating","sqale_debt_ratio","comment_lines_density","security_hotspots","cognitive_complexity","duplicated_blocks","blocker_violations","major_violations","security_rating","files","code_smells","security_hotspots_to_review_status","vulnerabilities","file_complexity","HIGH_reliability_issues","MEDIUM_reliability_issues","LOW_reliability_issues","HIGH_maintainability_issues","MEDIUM_maintainability_issues","LOW_maintainability_issues","HIGH_security_issues","MEDIUM_security_issues","LOW_security_issues","tot_pythonic","tot_non_pythonic","pythonic_percentage"
"https://github.com/adobe/antialiased-cnns.git",0,100,52,0,1,0,0,8,0,0,0,0,8,2,0,0,97,0,20,0,2.7,0,2,26,11,0,1361,323,5,73,201,0,1780,0,1,0.4,20.3,1,447,4,0,10,1,14,26,1,0,23.1,0,2,0,11,10,5,0,0,2,127,61,0.675531914893617
"https://github.com/AFAgarap/cnn-svm.git",0,98.5318487077361,44,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,4,0,41.4,0,2,6,0,0,341,52,0,408,30,0,557,0,1,0.2,32.6,0,36,8,0,6,1,11,6,0,0,4.7,6,0,0,0,6,0,0,0,0,11,48,0.186440677966102
"https://github.com/aiqm/torchani.git",1,80.6570544274175,267,0,3,2,0,9,8,0,1,0,13,34,6,0,123,0,37,0,9.6,0,9,115,14,1,4233,758,76,766,524,4,5228,25,3,0.3,22.6,8,743,30,0,24,1,58,111,8,0,13.1,0,4,0,14,20,77,0,0,0,213,290,0.423459244532803
"https://github.com/aisolab/nlp_classification.git",0,100,369,0,8,0,0,30,32,0,4,0,11,46,22,0,288,0,30,21,72.6,0,87,39,11,0,5332,1360,1,7711,218,0,6980,0,1,0.1,19.8,0,1113,289,0,27,1,120,39,0,0,11.3,0,0,0,11,27,1,0,0,0,418,443,0.48548199767712
"https://github.com/albumentations-team/albumentations.git",1,99.8493463390013,583,50,2,4,0,62,29,0,0,1,53,76,14,3,351,39,52,0,3.5,0,9,289,14,0,9459,2569,11,886,1531,7,17395,39,3,0.3,19.2,84,1574,75,0,264,1,66,282,84,0,38.9,2,232,0,16,255,11,0,0,225,589,730,0.446550416982563
"https://github.com/allegroai/trains.git",1,100,2331,5,26,7,0,74,57,6,3,32,275,582,151,7,5072,4,250,2,40.9,65,56,2419,1200,37,86483,27696,521,86378,24597,19,149577,137,5,0.5,18.7,47,22606,2782,23,638,4,357,2397,47,3,78.2,31,37,0,1217,623,555,3,0,21,6375,2509,0.717582170193606
"https://github.com/allenai/allennlp.git",1,98.4275799714331,2367,4,22,24,1,189,45,2,3,4,114,611,110,14,1289,26,373,8,2.9,0,54,704,232,33,36011,7947,94,2637,4253,191,57781,930,5,0.2,26.1,61,6781,156,4,341,1,602,513,61,0,13.2,17,215,0,222,168,123,0,0,38,2549,2657,0.489627353054168
"https://github.com/allenai/scibert.git",0,95.7615024185706,42,0,0,0,0,2,0,0,0,0,1,24,3,0,42,0,34,0,4.2,0,2,40,6,1,906,229,13,79,266,0,1236,0,1,0.7,23.6,1,377,4,0,20,1,23,40,1,0,10,0,4,0,6,20,14,0,0,4,104,44,0.702702702702703
"https://github.com/alvinwan/neural-backed-decision-trees.git",1,84.4062913613043,148,1,1,1,1,8,4,0,0,11,35,45,8,1,134,1,19,0,4.2,30,2,121,16,4,2886,769,41,256,706,6,4760,22,5,0.5,6.9,19,579,2,9,51,3,33,114,19,1,23.3,6,4,1,23,47,44,0,1,3,254,164,0.607655502392344
"https://github.com/amansrivastava17/embedding-as-service.git",0,99.872586554691,379,1,8,6,0,33,34,1,1,2,12,83,15,0,416,3,47,0,5,0,12,155,54,7,6106,1589,24,652,1331,3,9040,13,5,0.5,18.3,10,1987,27,4,66,1,43,152,10,0,37,9,7,0,57,64,31,0,0,5,578,463,0.5552353506244
