GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Pyhton_Percentage,A1_Elements,A2_Elements,B1_Elements,B2_Elements,C1_Elements,C2_Elements,Assign Multi Targets,Call Star,List Comprehension,Dict Comprehension,Set Comprehension,Truth Value Test,Chain Compare,For Multi Targets,For Else,PY_Assign Multi Targets,PY_Call Star,PY_List Comprehension,PY_Dict Comprehension,PY_Set Comprehension,PY_Truth Value Test,PY_Chain Compare,PY_For Multi Targets,PY_For Else,duplicated_lines_density,functions,security_remediation_effort,sqale_rating,duplicated_files,line_coverage,violations,critical_violations,info_violations,uncovered_lines,complexity,minor_violations,duplicated_lines,security_hotspots_reviewed,sqale_index,bugs,ncloc,reliability_remediation_effort,false_positive_issues,reopened_issues,reliability_rating,sqale_debt_ratio,comment_lines_density,security_hotspots,security_review_rating,cognitive_complexity,duplicated_blocks,open_issues,blocker_violations,major_violations,development_cost,security_rating,effort_to_reach_maintainability_rating_a,comment_lines,confirmed_issues,files,wont_fix_issues,classes,statements,lines_to_cover,security_hotspots_reviewed_status,lines,coverage,code_smells,security_hotspots_to_review_status,vulnerabilities,file_complexity,HIGH_reliability_issues,MEDIUM_reliability_issues,LOW_reliability_issues,HIGH_maintainability_issues,MEDIUM_maintainability_issues,LOW_maintainability_issues,HIGH_security_issues,MEDIUM_security_issues,LOW_security_issues
https://github.com/adobe/antialiased-cnns.git,N,1120,115,1785,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/adobe/antialiased-cnns/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity,Do reply to issues last time but not recently,https://github.com/adobe/antialiased-cnns/blob/master/LICENSE.md is provided.,There is no evidence of any testing done on the project.,100.0,1133,1376,118,8,4,36,52,0,1,0,0,8,0,0,0,0,8,2,0,0,97,0,20,0,2.7,76,0,1.0,2,0.0,26,11,0,1361,323,5,73,0.0,201,0,1780,0,0,0,1.0,0.4,20.3,1,5.0,447,4,26,0,10,53400,1.0,0,453,0,14,0,16,1389,1361,0,2685,0.0,26,1,0,23.1,0,2,0,11,10,5,0,0,2
https://github.com/AFAgarap/cnn-svm.git,N,145,111,557,The source code of the project exists as ad-hoc scripts.,There are no contributors to the project other than the author.,CI is not used on the project.,Most of the functions in the source code are not documented.,No evidence of sustained commit activity,Issues all raised by author and he do answered others' questions,https://github.com/AFAgarap/cnn-svm/blob/master/LICENSE is provided.,there is no evidence of any testing done on the project.,98.53184870773612,56,50,31,3,3,5,44,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,4,0,41.4,26,0,1.0,2,0.0,6,0,0,341,52,0,408,100.0,30,0,557,0,0,0,1.0,0.2,32.6,0,1.0,36,8,6,0,6,16710,1.0,0,269,0,11,0,4,367,341,0,986,0.0,6,0,0,4.7,6,0,0,0,6,0,0,0,0
https://github.com/aiqm/torchani.git,Y,153,358,4738,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/aiqm/torchani/graphs/contributors shows that there are multiple contributors,The project uses CI but not sure what is it,Most of the functions in the source code are not documented.,Evidence of sustained commit activity but not stable,"The project maintainers respond to issues, as evidenced by https://github.com/XanaduAI/pennylane/issues/661 and https://github.com/XanaduAI/pennylane/issues/533",https://github.com/aiqm/torchani/blob/master/LICENSE is provided.,There are many files related to testing,80.65705442741753,3631,5506,328,51,88,40,267,0,3,2,0,9,8,0,1,0,13,34,6,0,123,0,37,0,9.6,326,0,1.0,9,0.0,115,14,1,4233,758,76,766,0.0,524,4,5228,25,0,0,3.0,0.3,22.6,8,5.0,743,30,115,0,24,156840,1.0,0,1524,0,58,0,73,4326,4233,0,7962,0.0,111,8,0,13.1,0,4,0,14,20,77,0,0,0
https://github.com/aisolab/nlp_classification.git,N,176,383,5626,Organized into projects where each project source code have been organised into different modules in a way that shows the relationship between different files.,https://github.com/aisolab/nlp_classification/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project.,Most of the functions in the source code are not documented.,No evidence of sustained commit activity,"Only 2 issues, 1 open, 1 closed",https://github.com/aisolab/nlp_classification/blob/master/LICENSE is provided.,1 test file for each project,100.0,4111,5229,572,82,104,97,369,0,8,0,0,30,32,0,4,0,11,46,22,0,288,0,30,21,72.6,623,0,1.0,87,0.0,39,11,0,5332,1360,1,7711,100.0,218,0,6980,0,0,0,1.0,0.1,19.8,0,1.0,1113,289,39,0,27,209400,1.0,0,1725,0,120,0,128,5711,5332,0,10614,0.0,39,0,0,11.3,0,0,0,11,27,1,0,0,0
https://github.com/albumentations-team/albumentations.git,Y,5406,573,9200,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/albumentations-team/albumentations/graphs/contributors?from=2019-04-22&to=2020-03-12&type=c shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,commit activity decreasing,"The project maintainers respond to issues, as evidenced by https://github.com/albumentations-team/albumentations/issues/644 and https://github.com/albumentations-team/albumentations/issues/653 however there are s lot open issues",https://github.com/albumentations-team/albumentations/blob/master/LICENSE is provided.,There are many files related to testing,99.84934633900131,10327,10174,1254,507,112,139,583,50,2,4,0,62,29,0,0,1,53,76,14,3,351,39,52,0,3.5,1425,0,1.0,9,0.0,289,14,0,9459,2569,11,886,0.0,1531,7,17395,39,0,0,3.0,0.3,19.2,84,5.0,1574,75,289,0,264,521850,1.0,0,4124,0,66,0,239,9694,9459,0,25205,0.0,282,84,0,38.9,2,232,0,16,255,11,0,0,225
https://github.com/allegroai/trains.git,Y,1347,640,115412,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/allegroai/trains/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers (mainly 1 person) respond to issues, as evidenced by https://github.com/allegroai/trains/issues/154 and https://github.com/allegroai/trains/issues/138",https://github.com/allegroai/trains/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.,100.0,0,0,0,0,0,0,2331,5,26,7,0,74,57,6,3,32,275,582,151,7,5072,4,250,2,40.9,12679,65,1.0,56,0.0,2419,1200,37,86483,27696,521,86378,0.0,24597,19,149577,137,0,0,5.0,0.5,18.7,47,5.0,22606,2782,2419,23,638,4487310,4.0,0,34441,0,357,0,1788,89084,86483,0,210950,0.0,2397,47,3,78.2,31,37,0,1217,623,555,3,0,21
https://github.com/allenai/allennlp.git,Y,8655,2156,40659,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/allenai/allennlp/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/XanaduAI/pennylane/issues/661 and https://github.com/allenai/allennlp/issues/4437",https://github.com/allenai/allennlp/blob/master/LICENSE is provided.,There are many files related to testing,98.42757997143306,0,0,0,0,0,0,2367,4,22,24,1,189,45,2,3,4,114,611,110,14,1289,26,373,8,2.9,3733,0,1.0,54,0.0,704,232,33,36011,7947,94,2637,0.0,4253,191,57781,930,0,0,5.0,0.2,26.1,61,5.0,6781,156,704,4,341,1733430,1.0,0,20355,0,602,0,909,37169,36011,0,90491,0.0,513,61,0,13.2,17,215,0,222,168,123,0,0,38
https://github.com/allenai/scibert.git,N,651,253,1237,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/allenai/scibert/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,Most of the functions in the source code are not documented.,Evidence of sustained commit activity,Do reply to issues last time but not recently,https://github.com/allenai/scibert/blob/master/LICENSE.txt is provided.,There are files related to testing,95.76150241857056,695,837,76,15,29,17,42,0,0,0,0,2,0,0,0,0,1,24,3,0,42,0,34,0,4.2,49,0,1.0,2,0.0,40,6,1,906,229,13,79,0.0,266,0,1236,0,0,0,1.0,0.7,23.6,1,5.0,377,4,40,0,20,37080,1.0,0,381,0,23,0,7,932,906,0,1899,0.0,40,1,0,10.0,0,4,0,6,20,14,0,0,4
https://github.com/alvinwan/neural-backed-decision-trees.git,Y,280,702,3383,The source code of the project exists as ad-hoc scripts.,https://github.com/alvinwan/neural-backed-decision-trees/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Little evidence of sustained commit activity,The maintainers of the project does not reply to issues or close them.,https://github.com/alvinwan/neural-backed-decision-trees/blob/master/LICENSE is provided.,There are files related to testing,84.4062913613043,2280,2462,286,57,59,92,148,1,1,1,1,8,4,0,0,11,35,45,8,1,134,1,19,0,4.2,362,30,1.0,2,0.0,121,16,4,2886,769,41,256,0.0,706,6,4760,22,0,0,5.0,0.5,6.9,19,5.0,579,2,121,9,51,142800,3.0,0,355,0,33,0,63,2945,2886,0,6135,0.0,114,19,1,23.3,6,4,1,23,47,44,0,1,3
https://github.com/amansrivastava17/embedding-as-service.git,N,116,373,9037,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/amansrivastava17/embedding-as-service/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,Most of the functions in the source code are not documented.,Evidence of sustained commit activity,Do reply to issues last time but not recently,https://github.com/amansrivastava17/embedding-as-service/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.,99.87258655469104,0,0,0,0,0,0,379,1,8,6,0,33,34,1,1,2,12,83,15,0,416,3,47,0,5.0,487,0,1.0,12,0.0,155,54,7,6106,1589,24,652,0.0,1331,3,9040,13,0,0,5.0,0.5,18.3,10,5.0,1987,27,155,4,66,271200,1.0,0,2022,0,43,0,64,6366,6106,0,13090,0.0,152,10,0,37.0,9,7,0,57,64,31,0,0,5
